	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
138	1.0	1.0	1.0	0.0	0.0	4.0	8.0
139	1.0	1.0	1.0	0.0	0.0	2.0	6.0
140	1.0	1.0	1.0	0.0	0.0	1.0	2.0
141	1.0	1.0	1.0	11.0	23.0	0.0	38.0
142	1.0	1.0	1.0	29.0	40.0	0.0	7.0
143	1.0	1.0	1.0	29.0	40.0	0.0	7.0
144	1.0	1.0	4.0	103.0	155.0	10.0	28.0
145	1.0	1.0	1.0	29.0	40.0	0.0	7.0
146	1.0	1.0	1.0	29.0	40.0	3.0	7.0
147	1.0	1.0	1.0	60.0	161.0	3.0	6.0
148	0.0	0.0	1.0	34.0	11.0	0.0	18.0
149	1.0	1.0	2.0	51.0	99.0	1.0	24.0
150	1.0	1.0	1.0	41.0	55.0	4.0	8.0
151	1.0	1.0	2.0	50.0	97.0	2.0	12.0
152	1.0	1.0	1.0	0.0	3.0	1.0	1.0
153	0.0	0.0	1.0	0.0	0.0	5.0	23.0
154	1.0	1.0	1.0	0.0	3.0	1.0	1.0
155	1.0	1.0	1.0	19.0	40.0	1.0	1.0
156	1.0	1.0	1.0	19.0	40.0	1.0	1.0
157	1.0	1.0	2.0	51.0	99.0	0.0	30.0
158	0.0	0.0	1.0	0.0	0.0	1.0	1.0
159	1.0	1.0	1.0	47.0	67.0	0.0	6.0
160	0.0	0.0	1.0	0.0	0.0	1.0	1.0
161	1.0	1.0	1.0	55.0	3.0	1.0	1.0
162	1.0	1.0	4.0	63.0	101.0	13.0	24.0
163	1.0	1.0	1.0	7.0	0.0	0.0	1.0
164	0.0	0.0	1.0	0.0	0.0	3.0	3.0
165	0.0	0.0	1.0	0.0	0.0	3.0	3.0
166	1.0	1.0	1.0	0.0	174.0	0.0	4.0
167	1.0	1.0	1.0	0.0	174.0	0.0	4.0
168	0.0	0.0	1.0	0.0	0.0	1.0	1.0
169	0.0	0.0	1.0	35.0	21.0	0.0	11.0
170	0.0	0.0	1.0	0.0	0.0	1.0	2.0
171	0.0	0.0	1.0	14.0	0.0	0.0	6.0
172	0.0	0.0	1.0	0.0	0.0	1.0	1.0
173	1.0	1.0	1.0	0.0	1.0	1.0	1.0
174	1.0	1.0	1.0	0.0	1.0	1.0	1.0
175	1.0	1.0	1.0	0.0	1.0	1.0	1.0
176	1.0	1.0	1.0	2.0	0.0	1.0	1.0
177	1.0	1.0	1.0	35.0	10.0	0.0	2.0
178	0.0	0.0	1.0	13.0	0.0	0.0	2.0
179	1.0	1.0	1.0	35.0	10.0	0.0	2.0
180	1.0	1.0	1.0	25.0	7.0	0.0	2.0
181	1.0	1.0	1.0	23.0	4.0	4.0	17.0
182	1.0	1.0	1.0	31.0	37.0	2.0	2.0
183	0.0	0.0	1.0	0.0	0.0	0.0	3.0
184	1.0	1.0	1.0	48.0	76.0	4.0	5.0
185	0.0	0.0	1.0	0.0	0.0	1.0	2.0
186	1.0	1.0	1.0	81.0	83.0	4.0	11.0
187	1.0	1.0	1.0	87.0	91.0	12.0	29.0
188	0.0	0.0	1.0	38.0	42.0	4.0	5.0
189	0.0	0.0	2.0	26.0	58.0	0.0	4.0
190	0.0	0.0	1.0	0.0	0.0	1.0	1.0
191	0.0	0.0	1.0	0.0	0.0	1.0	2.0
192	1.0	1.0	1.0	47.0	69.0	4.0	6.0
193	0.0	0.0	1.0	0.0	0.0	3.0	3.0
194	0.0	0.0	1.0	0.0	0.0	1.0	1.0
195	0.0	0.0	1.0	0.0	0.0	30.0	30.0
196	0.0	0.0	1.0	0.0	0.0	0.0	3.0
197	0.0	0.0	1.0	0.0	0.0	1.0	1.0
198	1.0	1.0	2.0	16.0	52.0	34.0	36.0
199	0.0	0.0	1.0	0.0	0.0	1.0	1.0
200	1.0	1.0	1.0	0.0	3.0	1.0	2.0
201	1.0	1.0	1.0	17.0	14.0	1.0	1.0
202	1.0	1.0	1.0	11.0	24.0	3.0	6.0
203	1.0	1.0	2.0	24.0	36.0	7.0	24.0
204	1.0	1.0	1.0	0.0	0.0	5.0	12.0
205	1.0	1.0	1.0	0.0	0.0	1.0	1.0
206	1.0	1.0	2.0	27.0	55.0	10.0	28.0
207	1.0	1.0	1.0	2.0	24.0	2.0	4.0
208	1.0	1.0	1.0	0.0	0.0	0.0	5.0
209	1.0	1.0	1.0	0.0	0.0	0.0	5.0
210	1.0	1.0	1.0	2.0	24.0	2.0	4.0
211	1.0	1.0	1.0	0.0	18.0	1.0	1.0
212	0.0	0.0	1.0	55.0	73.0	3.0	5.0
213	0.0	0.0	1.0	28.0	84.0	4.0	5.0
214	1.0	1.0	1.0	63.0	95.0	14.0	18.0
215	0.0	0.0	1.0	50.0	72.0	2.0	2.0
216	0.0	0.0	1.0	50.0	72.0	1.0	1.0
217	0.0	0.0	1.0	50.0	72.0	1.0	1.0
218	1.0	1.0	1.0	25.0	31.0	1.0	4.0
219	1.0	1.0	1.0	2.0	24.0	2.0	4.0
220	1.0	1.0	1.0	22.0	4.0	0.0	2.0
221	1.0	1.0	2.0	30.0	44.0	0.0	72.0
222	1.0	1.0	1.0	24.0	68.0	1.0	1.0
223	0.0	0.0	1.0	9.0	129.0	2.0	3.0
224	1.0	1.0	1.0	24.0	68.0	0.0	1.0
225	1.0	1.0	1.0	17.0	1.0	1.0	2.0
226	0.0	0.0	2.0	0.0	0.0	3.0	6.0
227	0.0	0.0	1.0	0.0	0.0	3.0	3.0
228	0.0	0.0	1.0	0.0	0.0	0.0	3.0
229	1.0	1.0	1.0	28.0	22.0	0.0	10.0
230	0.0	0.0	2.0	0.0	0.0	3.0	6.0
231	1.0	1.0	1.0	28.0	22.0	0.0	8.0
232	0.0	0.0	1.0	0.0	0.0	3.0	3.0
233	1.0	1.0	1.0	24.0	68.0	0.0	1.0
234	0.0	0.0	1.0	0.0	2.0	1.0	10.0
235	0.0	0.0	1.0	0.0	2.0	1.0	20.0
236	1.0	1.0	1.0	30.0	22.0	0.0	38.0
237	0.0	0.0	1.0	9.0	129.0	1.0	1.0
238	0.0	0.0	1.0	9.0	129.0	1.0	1.0
239	0.0	0.0	1.0	21.0	31.0	1.0	10.0
240	1.0	1.0	1.0	34.0	52.0	2.0	2.0
241	0.0	0.0	1.0	26.0	58.0	15.0	23.0
242	0.0	0.0	1.0	0.0	3.0	1.0	1.0
243	1.0	1.0	1.0	48.0	76.0	4.0	4.0
244	1.0	1.0	2.0	12.0	8.0	9.0	15.0
245	1.0	2.0	1.0	2.0	6.0	1.0	1.0
246	0.0	0.0	1.0	17.0	30.0	1.0	1.0
247	1.0	1.0	1.0	3.0	5.0	3.0	5.0
248	0.0	0.0	1.0	17.0	30.0	1.0	1.0
249	0.0	0.0	1.0	26.0	57.0	2.0	2.0
250	1.0	1.0	1.0	25.0	2.0	1.0	1.0
251	1.0	1.0	1.0	25.0	3.0	2.0	2.0
252	1.0	1.0	1.0	0.0	0.0	2.0	10.0
253	1.0	1.0	1.0	0.0	0.0	1.0	1.0
254	1.0	1.0	1.0	0.0	0.0	1.0	1.0
255	1.0	1.0	1.0	0.0	0.0	1.0	1.0
256	1.0	1.0	3.0	34.0	255.0	0.0	12.0
257	1.0	1.0	1.0	2.0	117.0	0.0	4.0
258	1.0	1.0	2.0	27.0	233.0	8.0	8.0
259	1.0	1.0	1.0	2.0	117.0	4.0	4.0
260	1.0	1.0	1.0	12.0	3.0	1.0	92.0
261	0.0	0.0	1.0	9.0	129.0	2.0	3.0
262	1.0	1.0	1.0	7.0	2.0	0.0	87.0
263	1.0	1.0	1.0	5.0	3.0	1.0	1.0
264	1.0	1.0	1.0	81.0	30.0	15.0	23.0
265	0.0	0.0	1.0	26.0	58.0	30.0	46.0
266	1.0	1.0	1.0	0.0	0.0	12.0	18.0
267	0.0	0.0	1.0	15.0	32.0	2.0	12.0
268	0.0	0.0	2.0	48.0	41.0	4.0	40.0
269	1.0	1.0	1.0	22.0	4.0	1.0	3.0
270	1.0	1.0	1.0	7.0	2.0	0.0	3.0
271	1.0	1.0	1.0	22.0	4.0	1.0	1.0
272	1.0	1.0	1.0	74.0	116.0	14.0	27.0
273	1.0	1.0	1.0	37.0	66.0	1.0	1.0
274	1.0	1.0	1.0	18.0	71.0	1.0	1.0
275	1.0	1.0	1.0	2.0	117.0	0.0	3.0
276	1.0	1.0	1.0	2.0	98.0	0.0	1.0
277	1.0	1.0	1.0	2.0	116.0	2.0	2.0
278	0.0	0.0	1.0	22.0	2.0	0.0	3.0
279	0.0	0.0	1.0	0.0	0.0	1.0	1.0
280	0.0	0.0	1.0	0.0	0.0	1.0	2.0
281	1.0	1.0	1.0	14.0	29.0	7.0	20.0
282	0.0	0.0	1.0	9.0	129.0	2.0	3.0
283	0.0	0.0	2.0	0.0	0.0	4.0	4.0
284	0.0	0.0	1.0	0.0	0.0	2.0	2.0
285	1.0	1.0	2.0	92.0	152.0	32.0	63.0
286	1.0	1.0	2.0	62.0	91.0	9.0	18.0
287	0.0	0.0	3.0	0.0	0.0	0.0	42.0
288	1.0	1.0	1.0	5.0	1.0	1.0	1.0
289	1.0	1.0	4.0	89.0	361.0	0.0	638.0
290	0.0	0.0	1.0	0.0	0.0	1.0	1.0
291	0.0	0.0	1.0	0.0	0.0	2.0	2.0
292	1.0	1.0	1.0	41.0	24.0	1.0	1.0
293	1.0	1.0	1.0	98.0	283.0	817.0	1102.0
294	1.0	1.0	1.0	70.0	101.0	86.0	162.0
295	1.0	1.0	2.0	4.0	5.0	6.0	16.0
296	1.0	1.0	2.0	4.0	5.0	4.0	12.0
297	1.0	1.0	1.0	0.0	0.0	3.0	4.0
298	1.0	1.0	1.0	0.0	0.0	4.0	8.0
299	1.0	1.0	1.0	0.0	0.0	3.0	4.0
300	1.0	1.0	2.0	103.0	1166.0	0.0	48.0
301	1.0	1.0	1.0	34.0	536.0	0.0	12.0
302	1.0	1.0	1.0	63.0	97.0	10.0	18.0
303	1.0	1.0	1.0	70.0	100.0	25.0	45.0
304	1.0	1.0	2.0	33.0	31.0	2.0	4.0
305	1.0	1.0	1.0	8.0	3.0	1.0	2.0
306	1.0	1.0	1.0	8.0	3.0	1.0	2.0
307	1.0	1.0	1.0	31.0	84.0	1.0	1.0
308	1.0	1.0	1.0	62.0	90.0	5.0	9.0
309	1.0	1.0	1.0	31.0	84.0	1.0	1.0
310	1.0	1.0	1.0	31.0	84.0	1.0	1.0
311	1.0	1.0	1.0	31.0	84.0	1.0	1.0
312	1.0	1.0	1.0	32.0	82.0	2.0	2.0
313	1.0	1.0	2.0	76.0	332.0	4.0	4.0
314	1.0	1.0	1.0	31.0	84.0	1.0	1.0
315	1.0	1.0	1.0	43.0	29.0	2.0	4.0
316	0.0	0.0	1.0	0.0	5.0	1.0	1.0
317	1.0	1.0	3.0	91.0	324.0	57.0	72.0
318	0.0	0.0	1.0	0.0	0.0	0.0	2.0
319	1.0	1.0	1.0	13.0	16.0	8.0	9.0
320	0.0	0.0	1.0	0.0	0.0	0.0	6.0
321	1.0	1.0	2.0	83.0	430.0	0.0	40.0
322	1.0	1.0	1.0	29.0	85.0	2.0	2.0
323	1.0	1.0	2.0	60.0	189.0	4.0	4.0
324	1.0	1.0	2.0	60.0	189.0	4.0	4.0
325	0.0	0.0	1.0	0.0	0.0	0.0	2.0
326	1.0	1.0	1.0	39.0	138.0	3.0	3.0
327	0.0	0.0	1.0	37.0	9.0	1.0	1.0
328	0.0	0.0	1.0	0.0	0.0	0.0	1.0
329	0.0	0.0	1.0	0.0	0.0	0.0	1.0
330	1.0	1.0	1.0	3.0	2.0	2.0	4.0
331	1.0	1.0	1.0	14.0	23.0	16.0	20.0
332	1.0	1.0	1.0	28.0	39.0	1.0	1.0
333	1.0	1.0	1.0	28.0	39.0	0.0	1.0
334	1.0	1.0	1.0	28.0	59.0	0.0	6.0
335	1.0	1.0	2.0	39.0	65.0	0.0	18.0
336	1.0	1.0	3.0	41.0	28.0	243.0	380.0
337	1.0	1.0	1.0	1.0	6.0	2.0	2.0
338	1.0	1.0	1.0	15.0	32.0	0.0	1.0
339	1.0	1.0	1.0	104.0	31.0	4.0	14.0
340	1.0	1.0	1.0	21.0	239.0	4.0	232.0
341	0.0	0.0	1.0	2.0	0.0	0.0	15.0
342	1.0	1.0	2.0	83.0	316.0	0.0	32.0
343	1.0	1.0	2.0	82.0	314.0	1.0	14.0
344	1.0	1.0	2.0	65.0	312.0	0.0	6.0
345	1.0	1.0	2.0	2.0	14.0	2.0	8.0
346	1.0	1.0	1.0	22.0	237.0	3.0	174.0
347	1.0	1.0	1.0	30.0	26.0	1.0	2.0
348	1.0	1.0	1.0	35.0	55.0	0.0	6.0
349	1.0	1.0	1.0	26.0	41.0	1.0	1.0
350	1.0	1.0	1.0	41.0	55.0	0.0	4.0
351	1.0	1.0	1.0	41.0	55.0	4.0	8.0
352	1.0	1.0	1.0	41.0	55.0	1.0	3.0
353	1.0	1.0	1.0	7.0	0.0	8.0	9.0
354	1.0	1.0	1.0	35.0	55.0	2.0	6.0
355	1.0	1.0	1.0	0.0	0.0	0.0	1.0
356	1.0	1.0	1.0	41.0	55.0	1.0	1.0
357	4.0	4.0	7.0	79.0	18.0	53.0	104.0
358	1.0	1.0	13.0	624.0	1687.0	772.0	1102.0
359	0.0	0.0	1.0	0.0	0.0	2.0	2.0
360	0.0	0.0	1.0	26.0	5.0	0.0	10.0
361	1.0	1.0	1.0	20.0	225.0	2.0	58.0
362	0.0	0.0	1.0	0.0	0.0	2.0	2.0
363	0.0	0.0	1.0	0.0	0.0	2.0	2.0
364	0.0	0.0	1.0	0.0	0.0	2.0	2.0
365	0.0	0.0	1.0	0.0	0.0	2.0	2.0
366	0.0	0.0	1.0	26.0	5.0	1.0	10.0
367	0.0	0.0	1.0	26.0	5.0	1.0	10.0
368	1.0	1.0	1.0	0.0	0.0	8.0	21.0
369	1.0	1.0	1.0	24.0	107.0	0.0	6.0
370	1.0	1.0	1.0	24.0	107.0	0.0	6.0
371	1.0	1.0	4.0	97.0	126.0	474.0	660.0
372	1.0	1.0	1.0	1.0	12.0	2.0	10.0
373	1.0	1.0	1.0	0.0	0.0	1.0	5.0
374	1.0	1.0	1.0	8.0	31.0	54.0	75.0
375	1.0	1.0	2.0	41.0	175.0	16.0	36.0
376	1.0	1.0	1.0	24.0	29.0	0.0	1.0
