	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
1611	1.0	1.0	1.0	28.0	115.0	0.0	6.0
1612	1.0	1.0	1.0	10.0	0.0	4.0	4.0
1613	1.0	1.0	1.0	37.0	41.0	6.0	10.0
1614	1.0	1.0	1.0	30.0	117.0	0.0	234.0
1615	1.0	1.0	1.0	13.0	17.0	3.0	3.0
1616	1.0	1.0	1.0	13.0	17.0	6.0	6.0
1617	1.0	1.0	1.0	13.0	17.0	3.0	3.0
1618	0.0	0.0	2.0	0.0	0.0	20.0	20.0
1619	1.0	1.0	1.0	5.0	35.0	1.0	4.0
1620	0.0	0.0	1.0	0.0	0.0	2.0	2.0
1621	1.0	1.0	1.0	34.0	40.0	0.0	16.0
1622	0.0	0.0	1.0	0.0	1.0	0.0	6.0
1623	1.0	1.0	1.0	17.0	3.0	162.0	200.0
1624	0.0	0.0	1.0	0.0	0.0	5.0	6.0
1625	1.0	1.0	1.0	36.0	89.0	1.0	2.0
1626	0.0	0.0	1.0	0.0	1.0	0.0	2.0
1627	1.0	1.0	1.0	21.0	123.0	2.0	28.0
1628	1.0	1.0	1.0	44.0	38.0	4.0	36.0
1629	0.0	0.0	1.0	0.0	0.0	1.0	1.0
1630	0.0	0.0	1.0	0.0	0.0	1.0	1.0
1631	1.0	1.0	1.0	18.0	24.0	0.0	9.0
1632	1.0	1.0	1.0	30.0	16.0	0.0	3.0
1633	1.0	1.0	1.0	70.0	127.0	6.0	6.0
1634	0.0	0.0	1.0	0.0	0.0	0.0	1.0
1635	1.0	1.0	1.0	20.0	120.0	2.0	14.0
1636	0.0	0.0	1.0	6.0	11.0	0.0	5.0
1637	1.0	1.0	2.0	58.0	267.0	12.0	21.0
1638	1.0	1.0	3.0	134.0	175.0	9.0	18.0
1639	1.0	1.0	1.0	40.0	29.0	11.0	12.0
1640	1.0	1.0	1.0	40.0	29.0	44.0	48.0
1641	1.0	1.0	1.0	37.0	95.0	7.0	8.0
1642	1.0	1.0	1.0	70.0	127.0	18.0	18.0
1643	1.0	1.0	1.0	70.0	122.0	2.0	2.0
1644	1.0	1.0	1.0	70.0	122.0	2.0	2.0
1645	1.0	1.0	1.0	7.0	59.0	8.0	12.0
1646	1.0	1.0	2.0	33.0	158.0	2.0	44.0
1647	1.0	1.0	2.0	33.0	169.0	6.0	8.0
1648	0.0	0.0	1.0	0.0	0.0	4.0	16.0
1649	0.0	0.0	1.0	3.0	5.0	2.0	4.0
1650	0.0	0.0	1.0	0.0	0.0	4.0	4.0
1651	1.0	1.0	3.0	142.0	574.0	0.0	168.0
1652	1.0	1.0	4.0	164.0	899.0	5.0	20.0
1653	1.0	1.0	1.0	56.0	84.0	0.0	2.0
1654	1.0	1.0	1.0	16.0	16.0	2.0	2.0
1655	1.0	1.0	1.0	17.0	6.0	6.0	8.0
1656	0.0	0.0	1.0	0.0	14.0	1.0	2.0
1657	0.0	0.0	1.0	0.0	14.0	1.0	2.0
1658	1.0	1.0	2.0	60.0	55.0	2.0	16.0
1659	1.0	1.0	2.0	60.0	55.0	7.0	16.0
1660	1.0	1.0	1.0	56.0	84.0	1.0	2.0
